Date,PV_Vol,Hour
2018-01-01,0.0,0
2018-01-01,0.0,1
2018-01-01,0.0,2
2018-01-01,0.0,3
2018-01-01,0.0,4
2018-01-01,0.0,5
2018-01-01,0.0,6
2018-01-01,0.0,7
2018-01-01,0.0,8
2018-01-01,7.3351,9
2018-01-01,33.951,10
2018-01-01,40.088,11
2018-01-01,21.315,12
2018-01-01,16.912,13
2018-01-01,7.7802,14
2018-01-01,6.3677,15
2018-01-01,0.0,16
2018-01-01,0.0,17
2018-01-01,0.0,18
2018-01-01,0.0,19
2018-01-01,0.0,20
2018-01-01,0.0,21
2018-01-01,0.0,22
2018-01-01,0.0,23
2018-01-02,0.0,0
2018-01-02,0.0,1
2018-01-02,0.0,2
2018-01-02,0.0,3
2018-01-02,0.0,4
2018-01-02,0.0,5
2018-01-02,0.0,6
2018-01-02,0.0,7
2018-01-02,0.0,8
2018-01-02,13.786,9
2018-01-02,33.171,10
2018-01-02,15.166,11
2018-01-02,24.985,12
2018-01-02,16.893,13
2018-01-02,10.874,14
2018-01-02,6.5794,15
2018-01-02,0.0,16
2018-01-02,0.0,17
2018-01-02,0.0,18
2018-01-02,0.0,19
2018-01-02,0.0,20
2018-01-02,0.0,21
2018-01-02,0.0,22
2018-01-02,0.0,23
2018-01-03,0.0,0
2018-01-03,0.0,1
2018-01-03,0.0,2
2018-01-03,0.0,3
2018-01-03,0.0,4
2018-01-03,0.0,5
2018-01-03,0.0,6
2018-01-03,0.0,7
2018-01-03,0.0,8
2018-01-03,1.082,9
2018-01-03,4.0128,10
2018-01-03,5.7694,11
2018-01-03,9.0745,12
2018-01-03,4.7154,13
2018-01-03,6.3862,14
2018-01-03,5.6339,15
2018-01-03,0.44828,16
2018-01-03,0.0,17
2018-01-03,0.0,18
2018-01-03,0.0,19
2018-01-03,0.0,20
2018-01-03,0.0,21
2018-01-03,0.0,22
2018-01-03,0.0,23
2018-01-04,0.0,0
2018-01-04,0.0,1
2018-01-04,0.0,2
2018-01-04,0.0,3
2018-01-04,0.0,4
2018-01-04,0.0,5
2018-01-04,0.0,6
2018-01-04,0.0,7
2018-01-04,0.0,8
2018-01-04,0.66542,9
2018-01-04,9.5101,10
2018-01-04,11.549,11
2018-01-04,17.017,12
2018-01-04,9.6448,13
2018-01-04,10.046,14
2018-01-04,6.8951,15
2018-01-04,0.0,16
2018-01-04,0.0,17
2018-01-04,0.0,18
2018-01-04,0.0,19
2018-01-04,0.0,20
2018-01-04,0.0,21
2018-01-04,0.0,22
2018-01-04,0.0,23
2018-01-05,0.0,0
2018-01-05,0.0,1
2018-01-05,0.0,2
2018-01-05,0.0,3
2018-01-05,0.0,4
2018-01-05,0.0,5
2018-01-05,0.0,6
2018-01-05,0.0,7
2018-01-05,0.0,8
