,date,price_da,price_imbalance
61537,2018-10-01 00:00:00,59.53,45.22
61538,2018-10-01 00:15:00,59.53,53.48
61539,2018-10-01 00:30:00,59.53,54.85
61540,2018-10-01 00:45:00,59.53,53.54
61541,2018-10-01 01:00:00,56.1,49.06
61542,2018-10-01 01:15:00,56.1,26.48
61543,2018-10-01 01:30:00,56.1,47.03
61544,2018-10-01 01:45:00,56.1,44.11
61545,2018-10-01 02:00:00,51.41,40.11
61546,2018-10-01 02:15:00,51.41,37.11
61547,2018-10-01 02:30:00,51.41,53.12
61548,2018-10-01 02:45:00,51.41,37.51
61549,2018-10-01 03:00:00,47.38,40.11
61550,2018-10-01 03:15:00,47.38,38.03
61551,2018-10-01 03:30:00,47.38,26.48
61552,2018-10-01 03:45:00,47.38,-4.65
61553,2018-10-01 04:00:00,47.59,40.11
61554,2018-10-01 04:15:00,47.59,40.11
61555,2018-10-01 04:30:00,47.59,40.11
61556,2018-10-01 04:45:00,47.59,40.11
61557,2018-10-01 05:00:00,51.61,44.11
61558,2018-10-01 05:15:00,51.61,47.85
61559,2018-10-01 05:30:00,51.61,-102.75
61560,2018-10-01 05:45:00,51.61,-7.84
61561,2018-10-01 06:00:00,69.13,44.63
61562,2018-10-01 06:15:00,69.13,47.68
61563,2018-10-01 06:30:00,69.13,24.9
61564,2018-10-01 06:45:00,69.13,55.68
61565,2018-10-01 07:00:00,77.32,63.62
61566,2018-10-01 07:15:00,77.32,52.44
61567,2018-10-01 07:30:00,77.32,52.44
61568,2018-10-01 07:45:00,77.32,55.86
61569,2018-10-01 08:00:00,84.97,51.68
61570,2018-10-01 08:15:00,84.97,52.44
61571,2018-10-01 08:30:00,84.97,52.38
61572,2018-10-01 08:45:00,84.97,52.37
61573,2018-10-01 09:00:00,79.56,52.97
61574,2018-10-01 09:15:00,79.56,79.56
61575,2018-10-01 09:30:00,79.56,55.86
61576,2018-10-01 09:45:00,79.56,51.05
61577,2018-10-01 10:00:00,73.7,40.79
61578,2018-10-01 10:15:00,73.7,50.02
61579,2018-10-01 10:30:00,73.7,55.2
61580,2018-10-01 10:45:00,73.7,53.38
61581,2018-10-01 11:00:00,63.0,53.41
61582,2018-10-01 11:15:00,63.0,53.35
61583,2018-10-01 11:30:00,63.0,44.79
61584,2018-10-01 11:45:00,63.0,26.03
61585,2018-10-01 12:00:00,56.19,43.14
61586,2018-10-01 12:15:00,56.19,4.13
61587,2018-10-01 12:30:00,56.19,26.03
61588,2018-10-01 12:45:00,56.19,20.44
61589,2018-10-01 13:00:00,53.6,40.79
61590,2018-10-01 13:15:00,53.6,40.79
61591,2018-10-01 13:30:00,53.6,51.99
61592,2018-10-01 13:45:00,53.6,40.79
61593,2018-10-01 14:00:00,52.3,26.03
61594,2018-10-01 14:15:00,52.3,26.03
61595,2018-10-01 14:30:00,52.3,48.31
61596,2018-10-01 14:45:00,52.3,48.31
61597,2018-10-01 15:00:00,53.0,49.69
61598,2018-10-01 15:15:00,53.0,26.03
61599,2018-10-01 15:30:00,53.0,40.79
61600,2018-10-01 15:45:00,53.0,48.31
61601,2018-10-01 16:00:00,53.37,53.37
61602,2018-10-01 16:15:00,53.37,48.03
61603,2018-10-01 16:30:00,53.37,48.31
61604,2018-10-01 16:45:00,53.37,51.98
61605,2018-10-01 17:00:00,60.42,60.79
61606,2018-10-01 17:15:00,60.42,26.03
61607,2018-10-01 17:30:00,60.42,14.37
61608,2018-10-01 17:45:00,60.42,52.34
61609,2018-10-01 18:00:00,69.93,48.99
61610,2018-10-01 18:15:00,69.93,14.95
61611,2018-10-01 18:30:00,69.93,51.58
61612,2018-10-01 18:45:00,69.93,50.94
61613,2018-10-01 19:00:00,75.0,71.41
61614,2018-10-01 19:15:00,75.0,52.44
61615,2018-10-01 19:30:00,75.0,76.03
61616,2018-10-01 19:45:00,75.0,76.03
61617,2018-10-01 20:00:00,69.6,267.34
61618,2018-10-01 20:15:00,69.6,71.86
61619,2018-10-01 20:30:00,69.6,63.97
61620,2018-10-01 20:45:00,69.6,55.87
61621,2018-10-01 21:00:00,60.0,24.9
61622,2018-10-01 21:15:00,60.0,52.36
61623,2018-10-01 21:30:00,60.0,14.01
61624,2018-10-01 21:45:00,60.0,-5.35
61625,2018-10-01 22:00:00,53.7,43.24
61626,2018-10-01 22:15:00,53.7,40.79
61627,2018-10-01 22:30:00,53.7,47.75
61628,2018-10-01 22:45:00,53.7,48.31
61629,2018-10-01 23:00:00,52.3,40.79
61630,2018-10-01 23:15:00,52.3,51.98
61631,2018-10-01 23:30:00,52.3,126.03
